,x,y,z,xp2,yp2,zp2,dist
62,-0.225223714,-0.199394946,0.064237798,-16.21610744,-14.35643609,4.625121476,2.211460773
63,-0.198939043,-0.18321252,0.053534919,-14.32361107,-13.19130147,3.854514167,2.352215306
64,-0.176545063,-0.158405885,0.068989352,-12.71124451,-11.40522372,4.967233345,2.651026897
65,-0.18511976,-0.119044473,0.08079333,-13.32862275,-8.571202085,5.817119775,3.022439654
66,-0.149371525,-0.101717402,0.056923886,-10.75474981,-7.323652933,4.098519759,3.336882802
67,-0.103585063,-0.069560406,0.110325788,-7.458124538,-5.008349241,7.943456723,5.568833774
68,-0.103024111,-0.021566774,0.0894117,-7.417736019,-1.552807702,6.437642421,3.769598821
69,-0.028244278,-0.015324102,0.08195811,-2.033588001,-1.103335312,5.900983884,5.429463851
70,-0.052164845,-0.076710926,0.041133111,-3.755868873,-5.523186644,2.961583994,5.580448809
71,-0.074806803,-0.104820238,0.042312586,-5.386089815,-7.547057133,3.046506169,2.600169966
72,-0.087547017,-0.120590184,0.063209941,-6.30338521,-8.682493232,4.551115741,2.096305307
73,-0.072941956,-0.169316917,0.132196167,-5.251820837,-12.19081805,9.518124052,6.171329047
74,-0.132029316,-0.178,0.079248818,-9.506110719,-12.816,5.705914865,5.746544506
75,-0.088076702,-0.22,0.137674084,-6.341522576,-15.84,9.912534078,6.070818669
76,-0.1127127,-0.26735208,0.082248741,-8.115314381,-19.24934975,5.921909366,5.540314855
77,-0.056981431,-0.263193302,0.07827791,-4.102663048,-18.94991771,5.636009506,4.033952033
78,-0.03578186,-0.212169709,0.09117905,-2.576293911,-15.27621905,6.564891581,4.085178881
79,-0.01453432,-0.259555752,0.022621371,-1.046471071,-18.68801417,1.628738707,6.19243967
80,0.007751431,-0.219351031,0.066295499,0.558103015,-15.79327426,4.773275915,4.56533585
81,0.050631931,-0.241310013,0.042504556,3.645499048,-17.37432094,3.060328059,3.86858026
82,0.074516535,-0.268449213,0.060323949,5.365190536,-19.32834337,4.343324325,2.902003082
83,0.097416889,-0.241483715,0.069117865,7.014015983,-17.38682749,4.976486299,2.624691095
84,0.087768197,-0.267822132,0.052698665,6.319310158,-19.28319354,3.794303856,2.340165741
85,0.121825209,-0.24715076,0.05361092,8.771415047,-17.79485471,3.859986227,2.869195884
86,0.12390602,-0.217582912,0.024370967,8.921233465,-15.66596966,1.754709652,2.997796954
87,0.059024971,-0.183204763,0.06,4.2497979,-13.19074291,4.32,5.876203896
88,0.08025698,-0.152622792,0.042761076,5.778502572,-10.98884102,3.078797453,2.953962371
89,0.043694288,-0.144424134,0.089382079,3.145988741,-10.39853766,6.435509705,4.306518811
90,0.036435459,-0.098909199,0.065439851,2.623353038,-7.121462296,4.711669297,3.73951825
91,0.00503781,-0.056584548,0.093458353,0.362722354,-4.074087455,6.72900145,4.297275128
92,-0.018556534,-0.0495677,0.070857589,-1.336070479,-3.568874392,5.101746437,2.406054074
93,0.06,-0.023706306,0.100157559,4.32,-1.70685402,7.21134427,6.317329827
94,0.098222772,-0.0297891,0.092554016,7.072039608,-2.144815196,6.663889168,2.839936458
95,0.135684048,-0.075055843,0.107844812,9.769251461,-5.404020721,7.764826479,4.37143402
96,0.154418391,-0.12796961,0.076639797,11.11812417,-9.213811944,5.518065361,4.624056908
97,0.201727435,-0.132723564,0.107574865,14.52437531,-9.556096593,7.745390265,4.084199038
98,0.161631034,-0.135,0.117,11.63743444,-9.72,8.424,2.970152024
99,0.182845861,-0.131458724,0.117937881,13.16490198,-9.465028101,8.491527467,1.55007345
100,0.19,-0.075334319,0.109999326,13.68,-5.424070937,7.91995148,4.113558057
101,0.192173466,-0.103364428,0.093869181,13.83648955,-7.442238833,6.758581053,2.333724899
102,0.221919158,-0.085006464,0.060973131,15.97817936,-6.120465379,4.390065465,3.455978357
103,0.258273067,-0.056906157,0.058378707,18.59566084,-4.097243301,4.203266897,3.313537468
104,0.282335341,-0.051190533,0.055946299,20.32814455,-3.685718408,4.028133504,1.789280379
105,0.267153239,-0.042641659,0.076133184,19.23503318,-3.07019945,5.481589239,1.919971262
106,0.242849269,-0.046381403,0.084487249,17.48514736,-3.339461014,6.083081899,1.869865127
107,0.204671167,0.007192729,0.112545463,14.73632403,0.517876457,8.103273324,5.149393697
108,0.224445944,0.065048691,0.081716955,16.16010795,4.683505729,5.883620777,4.930160779
109,0.165490376,0.032907491,0.07444272,11.91530706,2.369339352,5.359875876,4.862921893
110,0.119613712,0.038536996,0.114935641,8.612187279,2.774663725,8.275366163,4.424361166
111,0.098431422,0.004912634,0.045410666,7.087062351,0.353709634,3.269567925,5.765851261
112,0.012205112,-0.013263704,0.044459579,0.878768039,-0.954986676,3.201089672,6.345099964
